"","open","high","low","close","volume","adjusted_close"
"2013-04-10",1.1737,1.1755,1.1716,1.1738,0,1.1738
"2013-04-11",1.1735,1.1775,1.1725,1.1734,0,1.1734
"2013-04-14",1.1721,1.1742,1.1696,1.172,0,1.172
"2013-04-15",1.1715,1.1728,1.1643,1.1717,0,1.1717
"2013-04-16",1.1653,1.1691,1.1578,1.1651,0,1.1651
"2013-04-17",1.1694,1.1719,1.1661,1.1693,0,1.1693
"2013-04-18",1.1706,1.1755,1.1654,1.1707,0,1.1707
"2013-04-21",1.1658,1.1705,1.1639,1.1657,0,1.1657
"2013-04-22",1.1712,1.1748,1.1668,1.1712,0,1.1712
"2013-04-23",1.1717,1.1764,1.1711,1.1716,0,1.1716
"2013-04-24",1.1736,1.1884,1.172,1.1736,0,1.1736
"2013-04-25",1.1867,1.1904,1.1836,1.1866,0,1.1866
"2013-04-28",1.1877,1.1896,1.1824,1.1878,0,1.1878
"2013-04-29",1.1828,1.1868,1.1786,1.1827,0,1.1827
"2013-04-30",1.1795,1.1818,1.1771,1.1796,0,1.1796
"2013-05-01",1.1812,1.1889,1.1791,1.181,0,1.181
"2013-05-02",1.1888,1.1893,1.1832,1.1888,0,1.1888
"2013-05-05",1.1867,1.19,1.1848,1.1869,0,1.1869
"2013-05-06",1.1884,1.189,1.181,1.1884,0,1.1884
"2013-05-07",1.1835,1.1836,1.1782,1.1834,0,1.1834
"2013-05-08",1.1806,1.1854,1.1798,1.1808,0,1.1808
"2013-05-09",1.1849,1.1858,1.1823,1.1848,0,1.1848
"2013-05-12",1.1832,1.1853,1.1773,1.1829,0,1.1829
"2013-05-13",1.1783,1.1798,1.1743,1.1783,0,1.1783
"2013-05-14",1.1768,1.1851,1.1766,1.1768,0,1.1768
"2013-05-15",1.1826,1.1872,1.1812,1.1826,0,1.1826
"2013-05-16",1.1855,1.1858,1.1826,1.1854,0,1.1854
"2013-05-19",1.1825,1.1838,1.1804,1.1826,0,1.1826
"2013-05-20",1.1838,1.1839,1.1743,1.1838,0,1.1838
"2013-05-21",1.1732,1.1736,1.1641,1.1733,0,1.1733
"2013-05-22",1.1705,1.1719,1.1667,1.1706,0,1.1706
"2013-05-23",1.1678,1.1713,1.1629,1.1676,0,1.1676
"2013-05-26",1.1692,1.1714,1.1662,1.1694,0,1.1694
"2013-05-27",1.168,1.1703,1.1677,1.168,0,1.168
"2013-05-28",1.1697,1.1707,1.1638,1.1695,0,1.1695
"2013-05-29",1.1685,1.17,1.1631,1.1684,0,1.1684
"2013-05-30",1.1675,1.1722,1.1657,1.1675,0,1.1675
"2013-06-02",1.16989,1.1759,1.16895,1.1701,0,1.1701
"2013-06-03",1.17192,1.1732,1.16817,1.1721,0,1.1721
"2013-06-04",1.17031,1.1764,1.16957,1.1705,0,1.1705
"2013-06-05",1.1764,1.1791,1.17343,1.1763,0,1.1763
"2013-06-06",1.1778,1.1786,1.17246,1.1779,0,1.1779
"2013-06-09",1.1759,1.1776,1.17382,1.1758,0,1.1758
"2013-06-10",1.1745,1.176,1.16934,1.1745,0,1.1745
"2013-06-11",1.1748,1.1802,1.17431,1.1747,0,1.1747
"2013-06-12",1.1754,1.1796,1.17045,1.1754,0,1.1754
"2013-06-13",1.1752,1.1768,1.1715,1.17519,0,1.17519
"2013-06-16",1.1777,1.1794,1.17684,1.17758,0,1.17758
"2013-06-17",1.1763,1.1764,1.16472,1.1762,0,1.1762
"2013-06-18",1.16756,1.1701,1.16531,1.1677,0,1.1677
"2013-06-19",1.1647,1.1737,1.16378,1.1647,0,1.1647
"2013-06-20",1.1722,1.1731,1.16912,1.172,0,1.172
"2013-06-23",1.1741,1.1785,1.1705,1.17391,0,1.17391
"2013-06-24",1.17606,1.1801,1.17482,1.1761,0,1.1761
"2013-06-25",1.1784,1.1806,1.17645,1.17827,0,1.17827
"2013-06-26",1.17722,1.1774,1.1682,1.17725,0,1.17725
"2013-06-27",1.1703,1.1705,1.16395,1.17022,0,1.17022
"2013-06-30",1.1684,1.1697,1.16375,1.1683,0,1.1683
"2013-07-01",1.1637,1.1672,1.16341,1.1641,0,1.1641
"2013-07-02",1.1674,1.1787,1.1664,1.16722,0,1.16722
"2013-07-03",1.174,1.1748,1.1581,1.1736,0,1.1736
"2013-07-04",1.16487,1.167,1.1588,1.1651,0,1.1651
"2013-07-07",1.15948,1.1618,1.15886,1.1593,0,1.1593
"2013-07-08",1.16143,1.1624,1.15356,1.16154,0,1.16154
"2013-07-09",1.16213,1.1659,1.1604,1.1623,0,1.1623
"2013-07-10",1.15164,1.1601,1.1514,1.152,0,1.152
"2013-07-11",1.1587,1.1608,1.1569,1.15845,0,1.15845
"2013-07-14",1.15608,1.1584,1.154,1.1562,0,1.1562
"2013-07-15",1.1558,1.15672,1.1484,1.1561,0,1.1561
"2013-07-16",1.15079,1.1596,1.14794,1.15075,0,1.15075
"2013-07-17",1.1595,1.1624,1.1564,1.1595,0,1.1595
"2013-07-18",1.1608,1.164,1.1586,1.16071,0,1.16071
"2013-07-21",1.16143,1.1649,1.1609,1.1615,0,1.1615
"2013-07-22",1.1648,1.165,1.16141,1.1647,0,1.1647
"2013-07-23",1.16242,1.1642,1.15866,1.16243,0,1.16243
"2013-07-24",1.16019,1.164,1.1568,1.1605,0,1.1605
"2013-07-25",1.15832,1.1614,1.15757,1.1585,0,1.1585
"2013-07-28",1.1583,1.15954,1.1568,1.1583,0,1.1583
"2013-07-29",1.1565,1.157,1.14869,1.1565,0,1.1565
"2013-07-30",1.1488,1.1488,1.1413,1.1488,0,1.1488
"2013-07-31",1.14055,1.1513,1.1401,1.1407,0,1.1407
"2013-08-01",1.1442,1.1514,1.1433,1.1443,0,1.1443
"2013-08-04",1.1512,1.1584,1.14965,1.1512,0,1.1512
"2013-08-05",1.15786,1.1598,1.15374,1.158,0,1.158
"2013-08-06",1.1528,1.1653,1.14586,1.1528,0,1.1528
"2013-08-07",1.1614,1.16329,1.15959,1.16156,0,1.16156
"2013-08-08",1.161,1.1627,1.16002,1.161,0,1.161
"2013-08-11",1.16284,1.1651,1.1614,1.16289,0,1.16289
"2013-08-12",1.1627,1.17127,1.16121,1.1626,0,1.1626
"2013-08-13",1.1644,1.1721,1.16275,1.1644,0,1.1644
"2013-08-14",1.1696,1.1756,1.1669,1.1696,0,1.1696
"2013-08-15",1.17112,1.1729,1.1689,1.1714,0,1.1714
"2013-08-18",1.1721,1.1744,1.1709,1.1721,0,1.1721
"2013-08-19",1.1732,1.1735,1.16621,1.1733,0,1.1733
"2013-08-20",1.1668,1.1733,1.16573,1.167,0,1.167
"2013-08-21",1.1702,1.1712,1.16577,1.1704,0,1.1704
"2013-08-22",1.1675,1.1704,1.1627,1.16742,0,1.16742
"2013-08-25",1.1637,1.1656,1.16296,1.1637,0,1.1637
"2013-08-26",1.1645,1.1651,1.1594,1.1646,0,1.1646
"2013-08-27",1.1606,1.166,1.156,1.1606,0,1.1606
"2013-08-28",1.1641,1.1722,1.164,1.1642,0,1.1642
"2013-08-29",1.1713,1.1734,1.169,1.1713,0,1.1713
"2013-09-01",1.1747,1.18,1.17454,1.17462,0,1.17462
"2013-09-02",1.17833,1.1836,1.17831,1.1786,0,1.1786
"2013-09-03",1.18123,1.1866,1.18109,1.18121,0,1.18121
"2013-09-04",1.1833,1.1891,1.18109,1.1833,0,1.1833
"2013-09-05",1.1882,1.191,1.18558,1.1884,0,1.1884
"2013-09-08",1.1868,1.1888,1.18554,1.18638,0,1.18638
"2013-09-09",1.18388,1.1865,1.1827,1.184,0,1.184
"2013-09-10",1.1855,1.192,1.18463,1.1855,0,1.1855
"2013-09-11",1.1884,1.1911,1.18672,1.1884,0,1.1884
"2013-09-12",1.1883,1.19622,1.18776,1.1882,0,1.1882
"2013-09-15",1.19264,1.1943,1.1915,1.1928,0,1.1928
"2013-09-16",1.19222,1.1932,1.18864,1.19204,0,1.19204
"2013-09-17",1.1905,1.19681,1.1903,1.1906,0,1.1906
"2013-09-18",1.1927,1.1933,1.1844,1.1928,0,1.1928
"2013-09-19",1.1847,1.1871,1.18213,1.18458,0,1.18458
"2013-09-22",1.18315,1.1897,1.18292,1.18316,0,1.18316
"2013-09-23",1.18819,1.1884,1.1835,1.18818,0,1.18818
"2013-09-24",1.1869,1.1903,1.18373,1.187,0,1.187
"2013-09-25",1.18891,1.1909,1.1862,1.1891,0,1.1891
"2013-09-26",1.1889,1.19441,1.1875,1.18889,0,1.18889
"2013-09-29",1.1978,1.1981,1.19191,1.19785,0,1.19785
"2013-09-30",1.19671,1.1998,1.19545,1.19656,0,1.19656
"2013-10-01",1.1972,1.19942,1.1931,1.1972,0,1.1972
"2013-10-02",1.1946,1.1947,1.18486,1.19445,0,1.19445
"2013-10-03",1.1857,1.1872,1.17958,1.1856,0,1.1856
"2013-10-06",1.182,1.186,1.18098,1.18164,0,1.18164
"2013-10-07",1.1852,1.1867,1.18065,1.1852,0,1.1852
"2013-10-08",1.1851,1.1861,1.178,1.185,0,1.185
"2013-10-09",1.1801,1.1811,1.17725,1.18,0,1.18
"2013-10-10",1.1808,1.1815,1.17493,1.1809,0,1.1809
"2013-10-13",1.1778,1.179,1.1772,1.17756,0,1.17756
"2013-10-14",1.178,1.1838,1.177,1.1779,0,1.1779
"2013-10-15",1.1818,1.1851,1.17825,1.182,0,1.182
"2013-10-16",1.1793,1.1829,1.17679,1.179,0,1.179
"2013-10-17",1.1813,1.1842,1.18097,1.1815,0,1.1815
"2013-10-20",1.1817,1.1832,1.1805,1.1817,0,1.1817
"2013-10-21",1.1797,1.18,1.17631,1.1797,0,1.1797
"2013-10-22",1.17767,1.1785,1.1722,1.17775,0,1.17775
"2013-10-23",1.17276,1.1751,1.16885,1.17272,0,1.17272
"2013-10-24",1.1735,1.1757,1.1702,1.17322,0,1.17322
"2013-10-28",1.17118,1.1735,1.1698,1.1713,0,1.1713
"2013-10-29",1.1704,1.1705,1.16455,1.17024,0,1.17024
"2013-10-30",1.1676,1.1683,1.16593,1.16741,0,1.16741
"2013-10-31",1.1675,1.1806,1.1671,1.1676,0,1.1676
"2013-11-01",1.1813,1.1836,1.18007,1.1814,0,1.1814
"2013-11-04",1.18,1.18266,1.1796,1.1798,0,1.1798
"2013-11-05",1.18152,1.1914,1.1814,1.1816,0,1.1816
"2013-11-06",1.1908,1.19304,1.1878,1.1909,0,1.1909
"2013-11-07",1.1897,1.2042,1.18861,1.1897,0,1.1897
"2013-11-08",1.1995,1.2012,1.19561,1.19946,0,1.19946
"2013-11-11",1.19864,1.1989,1.19089,1.19873,0,1.19873
"2013-11-12",1.19197,1.1935,1.1834,1.1921,0,1.1921
"2013-11-13",1.1823,1.1933,1.18129,1.1822,0,1.1822
"2013-11-14",1.1897,1.1955,1.1883,1.18958,0,1.18958
"2013-11-15",1.1937,1.1961,1.19208,1.1938,0,1.1938
"2013-11-18",1.1948,1.1956,1.19025,1.19487,0,1.19487
"2013-11-19",1.1932,1.1933,1.18964,1.19297,0,1.19297
"2013-11-20",1.1895,1.2007,1.18812,1.1895,0,1.1895
"2013-11-21",1.1986,1.2002,1.1965,1.1984,0,1.1984
"2013-11-22",1.2012,1.2022,1.19638,1.201,0,1.201
"2013-11-25",1.19754,1.19861,1.1957,1.1976,0,1.1976
"2013-11-26",1.1947,1.1957,1.19156,1.1948,0,1.1948
"2013-11-27",1.1945,1.2001,1.1921,1.19444,0,1.19444
"2013-11-28",1.19937,1.2026,1.19738,1.1995,0,1.1995
"2013-11-29",1.2011,1.2023,1.19804,1.2011,0,1.2011
"2013-12-02",1.2053,1.2112,1.20507,1.2054,0,1.2054
"2013-12-03",1.2079,1.2107,1.2065,1.2078,0,1.2078
"2013-12-04",1.2057,1.2084,1.20163,1.2058,0,1.2058
"2013-12-05",1.2054,1.2057,1.1943,1.2052,0,1.2052
"2013-12-06",1.1946,1.1976,1.1944,1.1947,0,1.1947
"2013-12-09",1.1911,1.1953,1.1908,1.191,0,1.191
"2013-12-10",1.1954,1.1973,1.1916,1.19511,0,1.19511
"2013-12-11",1.1955,1.1956,1.18663,1.1954,0,1.1954
"2013-12-12",1.18767,1.1915,1.1858,1.1877,0,1.1877
"2013-12-13",1.1881,1.1891,1.1846,1.1881,0,1.1881
"2013-12-16",1.1864,1.1875,1.1825,1.1862,0,1.1862
"2013-12-17",1.1844,1.1857,1.18108,1.1844,0,1.1844
"2013-12-18",1.18167,1.1919,1.18152,1.1818,0,1.1818
"2013-12-19",1.1973,1.199,1.1948,1.1975,0,1.1975
"2013-12-20",1.1983,1.2002,1.1956,1.1981,0,1.1981
"2013-12-23",1.19357,1.1966,1.1918,1.1937,0,1.1937
"2013-12-24",1.19333,1.198,1.1933,1.1934,0,1.1934
"2013-12-25",1.1967,1.1967,1.195,1.19548,0,1.19548
"2013-12-26",1.19603,1.2004,1.19544,1.1961,0,1.1961
"2013-12-27",1.1985,1.199,1.1927,1.1983,0,1.1983
"2013-12-30",1.19819,1.2004,1.1943,1.1984,0,1.1984
"2013-12-31",1.1945,1.2019,1.194,1.1942,0,1.1942
"2014-01-01",1.2046,1.2046,1.2044,1.2046,0,1.2046
"2014-01-02",1.2038,1.2085,1.20336,1.2039,0,1.2039
"2014-01-03",1.2036,1.2073,1.20247,1.2034,0,1.2034
"2014-01-06",1.207,1.2075,1.20029,1.2068,0,1.2068
"2014-01-07",1.2041,1.2051,1.2017,1.2041,0,1.2041
"2014-01-08",1.20403,1.2106,1.20226,1.2042,0,1.2042
"2014-01-09",1.2114,1.2148,1.2081,1.2116,0,1.2116
"2014-01-10",1.2109,1.211,1.2044,1.2109,0,1.2109
"2014-01-13",1.2062,1.2069,1.198,1.20612,0,1.20612
"2014-01-14",1.199,1.2035,1.1986,1.19865,0,1.19865
"2014-01-15",1.2022,1.2066,1.2003,1.2022,0,1.2022
"2014-01-16",1.203,1.2033,1.19865,1.20286,0,1.20286
"2014-01-17",1.2005,1.2125,1.199,1.20022,0,1.20022
"2014-01-20",1.2135,1.2145,1.21029,1.2134,0,1.2134
"2014-01-21",1.21239,1.2172,1.2113,1.21217,0,1.21217
"2014-01-22",1.2149,1.2224,1.21402,1.2148,0,1.2148
"2014-01-23",1.22247,1.2235,1.214,1.22261,0,1.22261
"2014-01-24",1.2149,1.2177,1.2047,1.215,0,1.215
"2014-01-27",1.2049,1.2137,1.20445,1.2046,0,1.2046
"2014-01-28",1.2119,1.2159,1.21163,1.2119,0,1.2119
"2014-01-29",1.2132,1.2161,1.2105,1.2133,0,1.2133
"2014-01-30",1.2122,1.2168,1.2093,1.21198,0,1.21198
"2014-01-31",1.2164,1.221,1.2135,1.2166,0,1.2166
"2014-02-03",1.2187,1.219,1.2081,1.2185,0,1.2185
"2014-02-04",1.2058,1.2094,1.2011,1.2058,0,1.2058
"2014-02-05",1.20803,1.2095,1.2002,1.208,0,1.208
"2014-02-06",1.20596,1.2074,1.1977,1.2061,0,1.2061
"2014-02-07",1.2008,1.2062,1.20037,1.20049,0,1.20049
"2014-02-10",1.2047,1.2053,1.2009,1.2048,0,1.2048
"2014-02-11",1.20195,1.2064,1.1993,1.20214,0,1.20214
"2014-02-12",1.206,1.2206,1.2048,1.206,0,1.206
"2014-02-13",1.2222,1.2223,1.2154,1.2219,0,1.2219
"2014-02-14",1.2176,1.2228,1.21541,1.21746,0,1.21746
"2014-02-17",1.2232,1.2256,1.21938,1.2233,0,1.2233
"2014-02-18",1.21976,1.2208,1.2133,1.21982,0,1.21982
"2014-02-19",1.2122,1.216,1.21045,1.2123,0,1.2123
"2014-02-20",1.2145,1.217,1.21133,1.2144,0,1.2144
"2014-02-21",1.2142,1.2169,1.2118,1.21405,0,1.21405
"2014-02-24",1.21033,1.2129,1.2072,1.2106,0,1.2106
"2014-02-25",1.2126,1.2152,1.2112,1.21243,0,1.21243
"2014-02-26",1.2129,1.2179,1.212,1.2129,0,1.2129
"2014-02-27",1.2181,1.2196,1.2173,1.21794,0,1.21794
"2014-02-28",1.21747,1.2206,1.20939,1.2176,0,1.2176
"2014-03-03",1.2148,1.2157,1.2123,1.2143,0,1.2143
"2014-03-04",1.2132,1.2151,1.2105,1.2132,0,1.2132
"2014-03-05",1.2125,1.2186,1.2123,1.2127,0,1.2127
"2014-03-06",1.2171,1.2183,1.2068,1.217,0,1.217
"2014-03-07",1.2076,1.2084,1.2046,1.2075,0,1.2075
"2014-03-10",1.20532,1.2058,1.19738,1.2053,0,1.2053
"2014-03-11",1.1989,1.2015,1.1978,1.1989,0,1.1989
"2014-03-12",1.1993,1.201,1.19396,1.19902,0,1.19902
"2014-03-13",1.1952,1.1979,1.19329,1.1952,0,1.1952
"2014-03-14",1.19858,1.1995,1.1932,1.1988,0,1.1988
"2014-03-17",1.1963,1.1987,1.19367,1.1962,0,1.1962
"2014-03-18",1.1948,1.1956,1.1904,1.1947,0,1.1947
"2014-03-19",1.1913,1.1958,1.19091,1.1911,0,1.1911
"2014-03-20",1.1963,1.2004,1.1945,1.19617,0,1.19617
"2014-03-21",1.1979,1.1982,1.1943,1.19751,0,1.19751
"2014-03-24",1.1954,1.1981,1.1932,1.19505,0,1.19505
"2014-03-25",1.1922,1.1988,1.1903,1.19191,0,1.19191
"2014-03-26",1.196,1.2015,1.1954,1.19614,0,1.19614
"2014-03-27",1.20227,1.2094,1.20148,1.20241,0,1.20241
"2014-03-28",1.2083,1.2125,1.2071,1.20827,0,1.20827
"2014-03-30",1.21013,1.2104,1.205,1.21008,0,1.21008
"2014-03-31",1.2097,1.2101,1.2039,1.20955,0,1.20955
"2014-04-01",1.2055,1.2088,1.2034,1.20533,0,1.20533
"2014-04-02",1.20737,1.2103,1.2026,1.2073,0,1.2073
"2014-04-03",1.2094,1.2119,1.2081,1.2094,0,1.2094
"2014-04-06",1.2096,1.21,1.20678,1.2097,0,1.2097
"2014-04-07",1.20832,1.2144,1.20821,1.2084,0,1.2084
"2014-04-08",1.21387,1.2147,1.2114,1.21388,0,1.21388
"2014-04-09",1.21253,1.2133,1.20756,1.21251,0,1.21251
"2014-04-10",1.2077,1.2079,1.2032,1.20783,0,1.20783
"2014-04-13",1.208,1.2115,1.20709,1.208,0,1.208
"2014-04-14",1.21035,1.2125,1.207,1.21039,0,1.21039
"2014-04-15",1.2109,1.2163,1.2094,1.2108,0,1.2108
"2014-04-16",1.2154,1.217,1.21249,1.2153,0,1.2153
"2014-04-17",1.2152,1.216,1.2134,1.2151,0,1.2151
"2014-04-20",1.2148,1.2177,1.2148,1.2149,0,1.2149
"2014-04-21",1.217,1.2197,1.21672,1.21714,0,1.21714
"2014-04-22",1.2184,1.219,1.2125,1.2183,0,1.2183
"2014-04-23",1.21437,1.2162,1.21271,1.2145,0,1.2145
"2014-04-24",1.21506,1.2157,1.21309,1.215,0,1.215
"2014-04-27",1.2141,1.2166,1.213,1.214,0,1.214
"2014-04-28",1.2133,1.219,1.2109,1.21313,0,1.21313
"2014-04-29",1.2178,1.2192,1.2144,1.2178,0,1.2178
"2014-04-30",1.21659,1.2188,1.21515,1.2167,0,1.2167
"2014-05-01",1.2179,1.2192,1.2159,1.21777,0,1.21777
"2014-05-04",1.21646,1.2171,1.2143,1.2166,0,1.2166
"2014-05-05",1.2155,1.2201,1.2154,1.2156,0,1.2156
"2014-05-06",1.2185,1.2203,1.2172,1.2184,0,1.2184
"2014-05-07",1.21851,1.224,1.2123,1.21851,0,1.21851
"2014-05-08",1.2232,1.2247,1.22194,1.2232,0,1.2232
"2014-05-11",1.225,1.2278,1.2241,1.2251,0,1.2251
"2014-05-12",1.2265,1.2288,1.22318,1.2264,0,1.2264
"2014-05-13",1.2278,1.2301,1.22217,1.2278,0,1.2278
"2014-05-14",1.2222,1.2275,1.22186,1.2222,0,1.2222
"2014-05-15",1.2241,1.2282,1.22351,1.22398,0,1.22398
"2014-05-18",1.22754,1.2281,1.2255,1.2276,0,1.2276
"2014-05-19",1.2262,1.2312,1.22571,1.22601,0,1.22601
"2014-05-20",1.22837,1.2365,1.22756,1.2283,0,1.2283
"2014-05-21",1.2349,1.23638,1.23255,1.235,0,1.235
"2014-05-22",1.23504,1.2371,1.2339,1.2352,0,1.2352
"2014-05-25",1.2349,1.2366,1.23347,1.2351,0,1.2351
"2014-05-26",1.2337,1.2366,1.2319,1.2335,0,1.2335
"2014-05-27",1.2329,1.2335,1.2279,1.23264,0,1.23264
"2014-05-28",1.22939,1.23,1.2266,1.2295,0,1.2295
"2014-05-29",1.2293,1.2313,1.2285,1.22908,0,1.22908
"2014-06-01",1.2291,1.2321,1.22782,1.22922,0,1.22922
"2014-06-02",1.2312,1.2332,1.2273,1.2313,0,1.2313
"2014-06-03",1.2288,1.2307,1.22693,1.2288,0,1.2288
"2014-06-04",1.23023,1.2395,1.2293,1.23028,0,1.23028
"2014-06-05",1.2303,1.2341,1.23003,1.2302,0,1.2302
"2014-06-08",1.2317,1.236,1.23107,1.2311,0,1.2311
"2014-06-09",1.23594,1.2398,1.2354,1.23596,0,1.23596
"2014-06-10",1.23677,1.2413,1.23661,1.23688,0,1.23688
"2014-06-11",1.2403,1.2448,1.23971,1.24012,0,1.24012
"2014-06-12",1.2511,1.2538,1.24927,1.2509,0,1.2509
"2014-06-15",1.25386,1.2562,1.2507,1.2539,0,1.2539
"2014-06-16",1.2504,1.2528,1.2485,1.2504,0,1.2504
"2014-06-17",1.25151,1.2545,1.2473,1.2516,0,1.2516
"2014-06-18",1.2506,1.2519,1.2463,1.2506,0,1.2506
"2014-06-19",1.2518,1.2547,1.2505,1.2517,0,1.2517
"2014-06-22",1.2523,1.2534,1.2503,1.2521,0,1.2521
"2014-06-23",1.2515,1.2523,1.24602,1.2516,0,1.2516
"2014-06-24",1.24772,1.2481,1.2448,1.24771,0,1.24771
"2014-06-25",1.2459,1.2523,1.2449,1.24591,0,1.24591
"2014-06-26",1.2505,1.251,1.2471,1.25041,0,1.25041
"2014-06-29",1.2485,1.2495,1.2457,1.2483,0,1.2483
"2014-06-30",1.2494,1.2534,1.2485,1.2494,0,1.2494
"2014-07-01",1.2533,1.2575,1.25287,1.2533,0,1.2533
"2014-07-02",1.25658,1.2601,1.2543,1.2567,0,1.2567
"2014-07-03",1.2603,1.2624,1.26027,1.2602,0,1.2602
"2014-07-06",1.2621,1.2633,1.2582,1.26203,0,1.26203
"2014-07-07",1.2591,1.2613,1.256,1.2591,0,1.2591
